,loader,video,time
81,pyav,v_SoccerJuggling_g23_c01.avi,0.17419841600000155
82,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.19170236230000057
83,tv_vr,v_SoccerJuggling_g23_c01.avi,0.10619942429999867
84,CV2,SOX5yA1l24A.mp4,0.1364858288999983
85,pyav,SOX5yA1l24A.mp4,0.3632109247999978
86,tv_pyav,SOX5yA1l24A.mp4,0.44489548319999983
87,tv_vr,SOX5yA1l24A.mp4,0.31161198199999945
88,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.025678242200001478
89,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03753198979999865
90,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05026408360000119
91,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.02964614299999937
92,CV2,R6llTwEh07w.mp4,0.14280716139999755
93,pyav,R6llTwEh07w.mp4,0.40126338310000165
94,tv_pyav,R6llTwEh07w.mp4,0.4841450077000019
95,tv_vr,R6llTwEh07w.mp4,0.3504038097999995
96,CV2,v_SoccerJuggling_g24_c01.avi,0.07089049209999984
97,pyav,v_SoccerJuggling_g24_c01.avi,0.14641027190000103
98,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.1861886378999998
99,tv_vr,v_SoccerJuggling_g24_c01.avi,0.09779085460000089
100,CV2,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.029552753500001926
101,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04745421009999973
102,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.06132305619999841
103,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.03367094879999968
104,CV2,WUzgd7C1pWA.mp4,0.14292409959999758
105,pyav,WUzgd7C1pWA.mp4,0.39576371059999926
106,tv_pyav,WUzgd7C1pWA.mp4,0.4896460259999998
107,tv_vr,WUzgd7C1pWA.mp4,0.3542978732000023
108,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04560471570000004
109,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0735222370999992
110,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0945675996999995
111,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.05838451980000059
112,CV2,v_SoccerJuggling_g23_c01.avi,0.07062346620000141
113,pyav,v_SoccerJuggling_g23_c01.avi,0.15190605370000015
114,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.18145903429999918
115,tv_vr,v_SoccerJuggling_g23_c01.avi,0.10046270740000125
116,CV2,SOX5yA1l24A.mp4,0.12980708420000156
117,pyav,SOX5yA1l24A.mp4,0.34317609750000033
118,tv_pyav,SOX5yA1l24A.mp4,0.4349363079
119,tv_vr,SOX5yA1l24A.mp4,0.3027867255000018
120,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.025300157899999932
121,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03641657789999897
122,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04928734650000024
123,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.029035617999997498
124,CV2,R6llTwEh07w.mp4,0.14016786560000014
125,pyav,R6llTwEh07w.mp4,0.38118278310000164
126,tv_pyav,R6llTwEh07w.mp4,0.44824529450000056
127,tv_vr,R6llTwEh07w.mp4,0.3365458595000007
128,CV2,v_SoccerJuggling_g24_c01.avi,0.07006293729999982
129,pyav,v_SoccerJuggling_g24_c01.avi,0.14766799160000232
130,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.1822111595999985
131,tv_vr,v_SoccerJuggling_g24_c01.avi,0.0973507273999985
132,CV2,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.03010000849999983
133,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.047284209099998975
134,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.06134120269999812
135,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.03405259460000139
136,CV2,WUzgd7C1pWA.mp4,0.15260536419999937
137,pyav,WUzgd7C1pWA.mp4,0.4357452402999996
138,tv_pyav,WUzgd7C1pWA.mp4,0.4872658403999992
139,tv_vr,WUzgd7C1pWA.mp4,0.34680841569999643
140,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04185590369999659
141,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06511151290000043
142,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09098707069999819
143,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09120329379999817
144,CV2,v_SoccerJuggling_g23_c01.avi,0.0814224027000023
145,pyav,v_SoccerJuggling_g23_c01.avi,0.2081670129000031
146,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.19101969269999586
147,tv_vr,v_SoccerJuggling_g23_c01.avi,0.10657219760000203
148,CV2,SOX5yA1l24A.mp4,0.2032713885000021
149,pyav,SOX5yA1l24A.mp4,0.3966600282000002
150,tv_pyav,SOX5yA1l24A.mp4,0.5576285361000032
151,tv_vr,SOX5yA1l24A.mp4,0.35345700960000387
152,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03224609929999929
153,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03841654010000184
154,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.09414901920000034
155,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.044259072400001286
156,CV2,R6llTwEh07w.mp4,0.2460843288000035
157,pyav,R6llTwEh07w.mp4,0.4539663419000021
158,tv_pyav,R6llTwEh07w.mp4,0.5806454121999991
159,tv_vr,R6llTwEh07w.mp4,0.3915417588000025
160,CV2,v_SoccerJuggling_g24_c01.avi,0.07889085710000358
161,pyav,v_SoccerJuggling_g24_c01.avi,0.15686892840000155
162,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.2168554816999972
163,tv_vr,v_SoccerJuggling_g24_c01.avi,0.14058608949999893
164,CV2,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04339991230000351
165,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05753610780000144
166,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07195506639999963
167,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.06071245960000056
168,CV2,WUzgd7C1pWA.mp4,0.19122829890000048
169,pyav,WUzgd7C1pWA.mp4,0.4283905724999954
170,tv_pyav,WUzgd7C1pWA.mp4,0.5053704610000012
171,tv_vr,WUzgd7C1pWA.mp4,0.36121545689999834
172,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04461295809999797
173,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.07202557559999719
174,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09698988030000351
175,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.058008191899995155
176,CV2,v_SoccerJuggling_g23_c01.avi,0.07417268109999782
177,pyav,v_SoccerJuggling_g23_c01.avi,0.1613106479999999
178,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.21335148759999925
179,tv_vr,v_SoccerJuggling_g23_c01.avi,0.10680454419999705
180,CV2,SOX5yA1l24A.mp4,0.16017037080000024
181,pyav,SOX5yA1l24A.mp4,0.38476390179999953
182,tv_pyav,SOX5yA1l24A.mp4,0.5853528962000041
183,tv_vr,SOX5yA1l24A.mp4,0.35566872989999754
184,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.02751108549999799
185,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03868600270000115
186,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05117495449999865
187,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.029987521499998594
188,CV2,R6llTwEh07w.mp4,0.15287593400000218
189,pyav,R6llTwEh07w.mp4,0.45461181019999797
190,tv_pyav,R6llTwEh07w.mp4,0.5179244664000009
191,tv_vr,R6llTwEh07w.mp4,0.4125329315999977
192,CV2,v_SoccerJuggling_g24_c01.avi,0.07306562900000131
193,pyav,v_SoccerJuggling_g24_c01.avi,0.19614404620000414
194,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.2002179897000019
195,tv_vr,v_SoccerJuggling_g24_c01.avi,0.11150958800000126
196,CV2,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05332964320000429
197,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05638078650000011
198,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07374116259999823
199,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.03937792120000268
200,CV2,WUzgd7C1pWA.mp4,0.15338900049999893
201,pyav,WUzgd7C1pWA.mp4,0.4563144458000011
202,tv_pyav,WUzgd7C1pWA.mp4,0.5778427040999986
203,tv_vr,WUzgd7C1pWA.mp4,0.37654552360000365
204,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04527707620000001
205,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.07074056609999957
206,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10449319969999919
207,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06301117190000127
208,CV2,v_SoccerJuggling_g23_c01.avi,0.08090028139999958
209,pyav,v_SoccerJuggling_g23_c01.avi,0.18068175319999683
210,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.21178704550000022
211,tv_vr,v_SoccerJuggling_g23_c01.avi,0.12260432049999963
212,CV2,SOX5yA1l24A.mp4,0.2203858628999967
213,pyav,SOX5yA1l24A.mp4,0.47658403490000295
214,tv_pyav,SOX5yA1l24A.mp4,0.49305576669999596
215,tv_vr,SOX5yA1l24A.mp4,0.3550945581000008
216,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.038949653499997794
217,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03840902270000015
218,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05272373390000098
219,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03367966920000072
220,CV2,R6llTwEh07w.mp4,0.17606047239999612
221,pyav,R6llTwEh07w.mp4,0.4529776732000016
222,tv_pyav,R6llTwEh07w.mp4,0.511088403299999
223,tv_vr,R6llTwEh07w.mp4,0.3575566292000019
224,CV2,v_SoccerJuggling_g24_c01.avi,0.08054761180000014
225,pyav,v_SoccerJuggling_g24_c01.avi,0.16713789809999752
226,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.19415120950000073
227,tv_vr,v_SoccerJuggling_g24_c01.avi,0.11128916339999932
228,CV2,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.031009262700001726
229,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05116621739999801
230,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05990969489999998
