,threading,video,time
75,FRAME,./videos/WUzgd7C1pWA.mp4,0.5488109111
76,default,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.08818038940000009
77,AUTO,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06827629960000081
78,SLICE,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.08728928129999929
79,FRAME,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06382815019999839
80,default,./videos/v_SoccerJuggling_g23_c01.avi,0.25042944660000044
81,AUTO,./videos/v_SoccerJuggling_g23_c01.avi,0.15061037210000167
82,SLICE,./videos/v_SoccerJuggling_g23_c01.avi,0.18522714019999853
83,FRAME,./videos/v_SoccerJuggling_g23_c01.avi,0.15689514469999893
84,default,./videos/SOX5yA1l24A.mp4,0.38754544020000026
85,AUTO,./videos/SOX5yA1l24A.mp4,0.30243261159999973
86,SLICE,./videos/SOX5yA1l24A.mp4,0.39935223199999825
87,FRAME,./videos/SOX5yA1l24A.mp4,0.25048637659999995
88,default,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04317124250000006
89,AUTO,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.043862027899999136
90,SLICE,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.039056371699999204
91,FRAME,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04249518549999891
92,default,./videos/R6llTwEh07w.mp4,0.4087748761
93,AUTO,./videos/R6llTwEh07w.mp4,0.26484494329999964
94,SLICE,./videos/R6llTwEh07w.mp4,0.4196702791000007
95,FRAME,./videos/R6llTwEh07w.mp4,0.23336614100000191
96,default,./videos/v_SoccerJuggling_g24_c01.avi,0.1699002254000021
97,AUTO,./videos/v_SoccerJuggling_g24_c01.avi,0.15728781719999746
98,SLICE,./videos/v_SoccerJuggling_g24_c01.avi,0.16727457899999934
99,FRAME,./videos/v_SoccerJuggling_g24_c01.avi,0.14409587560000148
100,default,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.049292166899999754
101,AUTO,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04393109300000049
102,SLICE,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04928851919999886
103,FRAME,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04483260369999868
104,default,./videos/WUzgd7C1pWA.mp4,0.47557532330000074
105,AUTO,./videos/WUzgd7C1pWA.mp4,0.3382250092999982
106,SLICE,./videos/WUzgd7C1pWA.mp4,0.7071024365999989
107,FRAME,./videos/WUzgd7C1pWA.mp4,0.49640020200000096
108,default,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.1277150390999992
109,AUTO,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10210555599999793
110,SLICE,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.1357578282999981
111,FRAME,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10353085440000029
112,default,./videos/v_SoccerJuggling_g23_c01.avi,0.2877674850999995
113,AUTO,./videos/v_SoccerJuggling_g23_c01.avi,0.27102160409999954
114,SLICE,./videos/v_SoccerJuggling_g23_c01.avi,0.2902944439999999
115,FRAME,./videos/v_SoccerJuggling_g23_c01.avi,0.27219256650000145
116,default,./videos/SOX5yA1l24A.mp4,0.6652179862000025
117,AUTO,./videos/SOX5yA1l24A.mp4,0.48043278320000127
118,SLICE,./videos/SOX5yA1l24A.mp4,0.6727493667999965
119,FRAME,./videos/SOX5yA1l24A.mp4,0.7929226183000025
120,default,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.09837377119999928
121,AUTO,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.10973430230000077
122,SLICE,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.10253495009999938
123,FRAME,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.061875855399995315
124,default,./videos/R6llTwEh07w.mp4,0.7575615658999993
125,AUTO,./videos/R6llTwEh07w.mp4,0.591297490300002
126,SLICE,./videos/R6llTwEh07w.mp4,0.7304674857000009
127,FRAME,./videos/R6llTwEh07w.mp4,0.43622533120000073
128,default,./videos/v_SoccerJuggling_g24_c01.avi,0.2794915709000009
129,AUTO,./videos/v_SoccerJuggling_g24_c01.avi,0.2705976580999959
130,SLICE,./videos/v_SoccerJuggling_g24_c01.avi,0.36624814420000007
131,FRAME,./videos/v_SoccerJuggling_g24_c01.avi,0.284574625700003
132,default,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.15463048290000075
133,AUTO,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.2892854936999981
134,SLICE,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.23714212030000112
135,FRAME,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.22837413130000073
136,default,./videos/WUzgd7C1pWA.mp4,0.6941109138000001
137,AUTO,./videos/WUzgd7C1pWA.mp4,0.2873797160000038
138,SLICE,./videos/WUzgd7C1pWA.mp4,0.4575839669000004
139,FRAME,./videos/WUzgd7C1pWA.mp4,0.2454411265000033
140,default,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09414227750000351
141,AUTO,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09025237559999937
142,SLICE,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.11968874550000237
143,FRAME,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06318326630000115
144,default,./videos/v_SoccerJuggling_g23_c01.avi,0.1580050766999989
145,AUTO,./videos/v_SoccerJuggling_g23_c01.avi,0.1585189908000018
146,SLICE,./videos/v_SoccerJuggling_g23_c01.avi,0.2217726409000022
147,FRAME,./videos/v_SoccerJuggling_g23_c01.avi,0.13652139589999593
148,default,./videos/SOX5yA1l24A.mp4,0.3643455844000016
149,AUTO,./videos/SOX5yA1l24A.mp4,0.24367047069999898
150,SLICE,./videos/SOX5yA1l24A.mp4,0.4429528010000013
151,FRAME,./videos/SOX5yA1l24A.mp4,0.3051930748000018
152,default,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.037500190400004386
153,AUTO,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.034675129800001515
154,SLICE,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03821979009999836
155,FRAME,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03457971440000165
156,default,./videos/R6llTwEh07w.mp4,0.3895550404000005
157,AUTO,./videos/R6llTwEh07w.mp4,0.23412461969999754
158,SLICE,./videos/R6llTwEh07w.mp4,0.4900722413999972
159,FRAME,./videos/R6llTwEh07w.mp4,0.3164119028000016
160,default,./videos/v_SoccerJuggling_g24_c01.avi,0.15353385220000176
161,AUTO,./videos/v_SoccerJuggling_g24_c01.avi,0.1388622493000014
162,SLICE,./videos/v_SoccerJuggling_g24_c01.avi,0.15747303969999962
163,FRAME,./videos/v_SoccerJuggling_g24_c01.avi,0.1839322363000008
164,default,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.050369329500000504
165,AUTO,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04670329680000122
166,SLICE,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0500581311000019
167,FRAME,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04570914939999966
168,default,./videos/WUzgd7C1pWA.mp4,0.4270618596999952
169,AUTO,./videos/WUzgd7C1pWA.mp4,0.29688661050000176
170,SLICE,./videos/WUzgd7C1pWA.mp4,0.5099150959999974
171,FRAME,./videos/WUzgd7C1pWA.mp4,0.4640696386999991
172,default,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09391321859999949
173,AUTO,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.13464141549999908
174,SLICE,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.08925790810000081
175,FRAME,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06977291339999851
176,default,./videos/v_SoccerJuggling_g23_c01.avi,0.1593384532000016
177,AUTO,./videos/v_SoccerJuggling_g23_c01.avi,0.15911920290000126
178,SLICE,./videos/v_SoccerJuggling_g23_c01.avi,0.21915673889999993
179,FRAME,./videos/v_SoccerJuggling_g23_c01.avi,0.15235527600000295
180,default,./videos/SOX5yA1l24A.mp4,0.5035643499999992
181,AUTO,./videos/SOX5yA1l24A.mp4,0.2609771056
182,SLICE,./videos/SOX5yA1l24A.mp4,0.3589677222999967
183,FRAME,./videos/SOX5yA1l24A.mp4,0.2324068402000023
184,default,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.037288814100003266
185,AUTO,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.033697991399998274
186,SLICE,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03749109060000251
187,FRAME,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.032889265700003986
188,default,./videos/R6llTwEh07w.mp4,0.3855213097999979
189,AUTO,./videos/R6llTwEh07w.mp4,0.2563793396999984
190,SLICE,./videos/R6llTwEh07w.mp4,0.4443016602
191,FRAME,./videos/R6llTwEh07w.mp4,0.3434213485999976
192,default,./videos/v_SoccerJuggling_g24_c01.avi,0.16548625679999987
193,AUTO,./videos/v_SoccerJuggling_g24_c01.avi,0.15555776639999977
194,SLICE,./videos/v_SoccerJuggling_g24_c01.avi,0.17978257749999785
195,FRAME,./videos/v_SoccerJuggling_g24_c01.avi,0.15845309590000056
196,default,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07567871660000378
197,AUTO,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.10496021999999812
198,SLICE,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.058250611199997596
199,FRAME,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05174241390000134
200,default,./videos/WUzgd7C1pWA.mp4,0.4441771889999984
201,AUTO,./videos/WUzgd7C1pWA.mp4,0.2430243125000004
202,SLICE,./videos/WUzgd7C1pWA.mp4,0.4463214544999971
203,FRAME,./videos/WUzgd7C1pWA.mp4,0.28666218070000016
204,default,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0752099778999991
205,AUTO,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06036448899999982
206,SLICE,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.08118108039999469
207,FRAME,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.07210059870000123
208,default,./videos/v_SoccerJuggling_g23_c01.avi,0.2101186083000016
209,AUTO,./videos/v_SoccerJuggling_g23_c01.avi,0.1708989396999982
