,decoder,video,time,num_frames,num_threads,codec
66,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26,0.011439015157520771,49,4,original
67,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.01685863360762596,49,4,original
68,openCV,TrumanShow_wave_f_nm_np1_fr_med_26,0.015519808046519756,49,4,original
69,torchaudio,TrumanShow_wave_f_nm_np1_fr_med_26,0.010213986039161682,49,4,original
70,decord_cpu,v_SoccerJuggling_g24_c01,0.052393498830497265,251,4,original
71,tv_newAPI,v_SoccerJuggling_g24_c01,0.029233628883957863,251,4,original
72,pyav,v_SoccerJuggling_g24_c01,0.052506955340504646,251,4,original
73,tv_vr,v_SoccerJuggling_g24_c01,0.030997347086668015,251,4,original
74,tv_pyav,v_SoccerJuggling_g24_c01,0.0750911720097065,251,4,original
75,openCV,v_SoccerJuggling_g24_c01,0.026844603940844536,251,4,original
76,torchaudio,v_SoccerJuggling_g24_c01,0.02972806803882122,251,4,original
77,decord_cpu,R6llTwEh07w,0.09318093117326498,303,4,original
78,tv_newAPI,R6llTwEh07w,0.0674204220995307,303,4,original
79,pyav,R6llTwEh07w,0.17950239777565002,303,4,original
80,tv_vr,R6llTwEh07w,0.15286440588533878,303,4,original
81,tv_pyav,R6llTwEh07w,0.21981478575617075,303,4,original
82,openCV,R6llTwEh07w,0.04342517349869013,303,4,original
83,torchaudio,R6llTwEh07w,0.14611539337784052,303,4,original
84,decord_cpu,SOX5yA1l24A,0.1016441797837615,332,4,original
85,tv_newAPI,SOX5yA1l24A,0.05958202853798866,332,4,original
86,pyav,SOX5yA1l24A,0.1557564791291952,332,4,original
87,tv_vr,SOX5yA1l24A,0.12575137615203857,332,4,original
88,tv_pyav,SOX5yA1l24A,0.19943612348288298,332,4,original
89,openCV,SOX5yA1l24A,0.03776699397712946,332,4,original
90,torchaudio,SOX5yA1l24A,0.11920217517763376,332,4,original
91,decord_cpu,v_SoccerJuggling_g23_c01,0.05581907834857702,240,4,original
92,tv_newAPI,v_SoccerJuggling_g23_c01,0.027848079800605774,240,4,original
93,pyav,v_SoccerJuggling_g23_c01,0.05317746568471193,240,4,original
94,tv_vr,v_SoccerJuggling_g23_c01,0.035445041954517365,240,4,original
95,tv_pyav,v_SoccerJuggling_g23_c01,0.07847382128238678,240,4,original
96,openCV,v_SoccerJuggling_g23_c01,0.025714198127388954,240,4,original
97,torchaudio,v_SoccerJuggling_g23_c01,0.033998447470366955,240,4,original
98,decord_cpu,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.027721190825104713,75,4,original
99,tv_newAPI,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.01599338836967945,75,4,original
100,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.018137944862246513,75,4,original
101,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.012844804674386978,75,4,original
