,loader,video,time,num_frames,lib_version
0,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03524007815867662,72,8.0.2
1,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01760570192709565,48,8.0.2
2,pyav,SOX5yA1l24A.mp4,0.20735570508986712,332,8.0.2
3,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.02516294429078698,74,8.0.2
4,pyav,WUzgd7C1pWA.mp4,0.24291667221114038,327,8.0.2
5,pyav,v_SoccerJuggling_g24_c01.avi,0.06843605758622288,251,8.0.2
6,pyav,R6llTwEh07w.mp4,0.23185409642755986,303,8.0.2
7,pyav,v_SoccerJuggling_g23_c01.avi,0.07491522440686822,240,8.0.2
8,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.029664660803973675,72,8.0.2
9,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01784079326316714,48,8.0.2
10,pyav,SOX5yA1l24A.mp4,0.20581272020936012,332,8.0.2
11,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.02250824440270662,74,8.0.2
12,pyav,WUzgd7C1pWA.mp4,0.23033084087073802,327,8.0.2
13,pyav,v_SoccerJuggling_g24_c01.avi,0.06093412861227989,251,8.0.2
14,pyav,R6llTwEh07w.mp4,0.22157280882820488,303,8.0.2
15,pyav,v_SoccerJuggling_g23_c01.avi,0.06399492593482137,240,8.0.2
16,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.028026945330202578,72,8.0.2
17,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01696138670668006,48,8.0.2
18,pyav,SOX5yA1l24A.mp4,0.2000595612451434,332,8.0.2
19,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.021468616370111705,74,8.0.2
20,pyav,WUzgd7C1pWA.mp4,0.22745026694610715,327,8.0.2
21,pyav,v_SoccerJuggling_g24_c01.avi,0.061245674546808,251,8.0.2
22,pyav,R6llTwEh07w.mp4,0.21966211823746562,303,8.0.2
23,pyav,v_SoccerJuggling_g23_c01.avi,0.0638903733342886,240,8.0.2
24,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.027896392159163952,72,8.0.2
25,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01702376063913107,48,8.0.2
26,pyav,SOX5yA1l24A.mp4,0.19766728281974794,332,8.0.2
27,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.021513855177909137,74,8.0.2
28,pyav,WUzgd7C1pWA.mp4,0.22920626671984792,327,8.0.2
29,pyav,v_SoccerJuggling_g24_c01.avi,0.060653451923280956,251,8.0.2
30,pyav,R6llTwEh07w.mp4,0.21784145561978221,303,8.0.2
31,pyav,v_SoccerJuggling_g23_c01.avi,0.06398806245997549,240,8.0.2
32,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.027951317187398673,72,8.0.2
33,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01679450897499919,48,8.0.2
34,pyav,SOX5yA1l24A.mp4,0.1978186320513487,332,8.0.2
35,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.022199243679642676,74,8.0.2
36,pyav,WUzgd7C1pWA.mp4,0.22521679354831575,327,8.0.2
37,pyav,v_SoccerJuggling_g24_c01.avi,0.06842002980411052,251,8.0.2
38,pyav,R6llTwEh07w.mp4,0.23572057960554957,303,8.0.2
39,pyav,v_SoccerJuggling_g23_c01.avi,0.06396067747846246,240,8.0.2
40,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.02799914488568902,72,8.0.2
41,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01674032276496291,48,8.0.2
42,pyav,SOX5yA1l24A.mp4,0.1968338806182146,332,8.0.2
43,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.023336066864430904,74,8.0.2
44,pyav,WUzgd7C1pWA.mp4,0.24557000296190382,327,8.0.2
45,pyav,v_SoccerJuggling_g24_c01.avi,0.07167718475684523,251,8.0.2
46,pyav,R6llTwEh07w.mp4,0.24590599350631237,303,8.0.2
47,pyav,v_SoccerJuggling_g23_c01.avi,0.07366601889953017,240,8.0.2
48,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.032432027719914915,72,8.0.2
49,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01911444654688239,48,8.0.2
50,pyav,SOX5yA1l24A.mp4,0.21558368327096106,332,8.0.2
51,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.024175343103706837,74,8.0.2
52,pyav,WUzgd7C1pWA.mp4,0.2507308623753488,327,8.0.2
53,pyav,v_SoccerJuggling_g24_c01.avi,0.07013387903571129,251,8.0.2
54,pyav,R6llTwEh07w.mp4,0.23986605508252978,303,8.0.2
55,pyav,v_SoccerJuggling_g23_c01.avi,0.07263647336512805,240,8.0.2
56,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03174556670710445,72,8.0.2
57,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.018997386656701566,48,8.0.2
58,pyav,SOX5yA1l24A.mp4,0.20973871257156135,332,8.0.2
59,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.021207581739872694,74,8.0.2
60,pyav,WUzgd7C1pWA.mp4,0.2449952726252377,327,8.0.2
61,pyav,v_SoccerJuggling_g24_c01.avi,0.06761267250403762,251,8.0.2
62,pyav,R6llTwEh07w.mp4,0.22400425681844355,303,8.0.2
63,pyav,v_SoccerJuggling_g23_c01.avi,0.06291857175529003,240,8.0.2
64,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.027641772013157605,72,8.0.2
65,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01648770533502102,48,8.0.2
66,pyav,SOX5yA1l24A.mp4,0.19340987661853432,332,8.0.2
67,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.021575905568897723,74,8.0.2
68,pyav,WUzgd7C1pWA.mp4,0.3063554046675563,327,8.0.2
69,pyav,v_SoccerJuggling_g24_c01.avi,0.06072175856679678,251,8.0.2
70,pyav,R6llTwEh07w.mp4,0.22024463014677167,303,8.0.2
71,pyav,v_SoccerJuggling_g23_c01.avi,0.06986829042434692,240,8.0.2
72,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0325219327583909,72,8.0.2
73,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.019123471342027187,48,8.0.2
74,pyav,SOX5yA1l24A.mp4,0.21926626451313497,332,8.0.2
75,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.025278789829462765,74,8.0.2
76,pyav,WUzgd7C1pWA.mp4,0.23776590432971717,327,8.0.2
77,pyav,v_SoccerJuggling_g24_c01.avi,0.06299931760877371,251,8.0.2
78,pyav,R6llTwEh07w.mp4,0.23209359189495443,303,8.0.2
79,pyav,v_SoccerJuggling_g23_c01.avi,0.07296554036438466,240,8.0.2
