,decoder,video,time,num_frames,num_threads,codec
66,decord_cpu,R6llTwEh07w,0.08989409878849983,303,4,original
67,tv_newAPI,R6llTwEh07w,0.07767491489648819,303,4,original
68,pyav,R6llTwEh07w,0.17771155834198,303,4,original
69,tv_vr,R6llTwEh07w,0.1627971323207021,303,4,original
70,tv_pyav,R6llTwEh07w,0.21954636424779891,303,4,original
71,openCV,R6llTwEh07w,0.040907468646764755,303,4,original
72,decord_cpu,SOX5yA1l24A,0.09626084715127944,332,4,original
73,tv_newAPI,SOX5yA1l24A,0.06085770260542631,332,4,original
74,pyav,SOX5yA1l24A,0.1538464143872261,332,4,original
75,tv_vr,SOX5yA1l24A,0.14175857715308665,332,4,original
76,tv_pyav,SOX5yA1l24A,0.19688959717750548,332,4,original
77,openCV,SOX5yA1l24A,0.03721779324114323,332,4,original
78,decord_cpu,v_SoccerJuggling_g23_c01,0.05690949093550444,240,4,original
79,tv_newAPI,v_SoccerJuggling_g23_c01,0.028327547758817673,240,4,original
80,pyav,v_SoccerJuggling_g23_c01,0.052647079899907114,240,4,original
81,tv_vr,v_SoccerJuggling_g23_c01,0.042580509930849074,240,4,original
82,tv_pyav,v_SoccerJuggling_g23_c01,0.06955235823988914,240,4,original
83,openCV,v_SoccerJuggling_g23_c01,0.025510795786976813,240,4,original
84,decord_cpu,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.023803450167179108,75,4,original
85,tv_newAPI,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.01590720321983099,75,4,original
86,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.017831002548336982,75,4,original
87,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.012819155119359493,75,4,original
88,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.027329375594854356,75,4,original
89,openCV,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.01760623063892126,75,4,original
90,decord_cpu,RATRACE_wave_f_nm_np1_fr_goo_37,0.03886333014816046,73,4,original
91,tv_newAPI,RATRACE_wave_f_nm_np1_fr_goo_37,0.022065063193440437,73,4,original
92,pyav,RATRACE_wave_f_nm_np1_fr_goo_37,0.024168167635798453,73,4,original
93,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37,0.019864281825721263,73,4,original
94,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37,0.0350973978638649,73,4,original
95,openCV,RATRACE_wave_f_nm_np1_fr_goo_37,0.025389192067086695,73,4,original
96,decord_cpu,WUzgd7C1pWA,0.09529420286417008,327,8,original
97,tv_newAPI,WUzgd7C1pWA,0.061030647717416286,327,8,original
98,pyav,WUzgd7C1pWA,0.18510538563132287,327,8,original
99,tv_vr,WUzgd7C1pWA,0.16625090297311546,327,8,original
100,tv_pyav,WUzgd7C1pWA,0.2297239111736417,327,8,original
101,openCV,WUzgd7C1pWA,0.04454906694591045,327,8,original
102,decord_cpu,TrumanShow_wave_f_nm_np1_fr_med_26,0.021633397229015826,49,8,original
103,tv_newAPI,TrumanShow_wave_f_nm_np1_fr_med_26,0.010593284294009209,49,8,original
104,pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.014203848876059055,49,8,original
105,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26,0.011405145190656185,49,8,original
106,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.02326475866138935,49,8,original
107,openCV,TrumanShow_wave_f_nm_np1_fr_med_26,0.015507202409207822,49,8,original
108,decord_cpu,v_SoccerJuggling_g24_c01,0.04793578833341598,251,8,original
109,tv_newAPI,v_SoccerJuggling_g24_c01,0.0247389480471611,251,8,original
110,pyav,v_SoccerJuggling_g24_c01,0.04955589268356562,251,8,original
111,tv_vr,v_SoccerJuggling_g24_c01,0.030606712959706784,251,8,original
112,tv_pyav,v_SoccerJuggling_g24_c01,0.06509827375411988,251,8,original
113,openCV,v_SoccerJuggling_g24_c01,0.026515746861696242,251,8,original
114,decord_cpu,R6llTwEh07w,0.09100774228572846,303,8,original
115,tv_newAPI,R6llTwEh07w,0.04651583433151245,303,8,original
116,pyav,R6llTwEh07w,0.17906801793724297,303,8,original
117,tv_vr,R6llTwEh07w,0.16249925177544355,303,8,original
118,tv_pyav,R6llTwEh07w,0.2191963754594326,303,8,original
119,openCV,R6llTwEh07w,0.0411947762593627,303,8,original
