,decoder,video,time,num_frames,num_threads,codec
63,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.005857354775071144,1,1,original
64,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.007819944992661476,1,1,original
65,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.013568482734262944,1,1,original
66,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.008383226953446865,5,1,original
67,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.009255446679890155,5,1,original
68,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.013968674652278423,5,1,original
69,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.011551441811025142,10,1,original
70,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.011869441904127597,10,1,original
71,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.01672622635960579,10,1,original
72,pyav,WUzgd7C1pWA.mp4,0.1448729859665036,1,4,original
73,tv_newapi,WUzgd7C1pWA.mp4,0.08060721643269061,1,4,original
74,decord,WUzgd7C1pWA.mp4,0.04311784077435732,1,4,original
75,pyav,WUzgd7C1pWA.mp4,0.15115759912878274,5,4,original
76,tv_newapi,WUzgd7C1pWA.mp4,0.08346372544765472,5,4,original
77,decord,WUzgd7C1pWA.mp4,0.04221161156892776,5,4,original
78,pyav,WUzgd7C1pWA.mp4,0.16116503868252038,10,4,original
79,tv_newapi,WUzgd7C1pWA.mp4,0.0917295690625906,10,4,original
80,decord,WUzgd7C1pWA.mp4,0.03910173960030079,10,4,original
81,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0013302315026521682,1,4,original
82,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0038912607356905936,1,4,original
83,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.00946540217846632,1,4,original
84,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0031191954389214517,5,4,original
85,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0058119123801589016,5,4,original
86,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.013109955191612243,5,4,original
87,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.005618182010948658,10,4,original
88,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.007774894498288632,10,4,original
89,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.014469405822455882,10,4,original
90,pyav,v_SoccerJuggling_g24_c01.avi,0.0029513970017433166,1,4,original
91,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.0036131782457232476,1,4,original
92,decord,v_SoccerJuggling_g24_c01.avi,0.007402238808572293,1,4,original
93,pyav,v_SoccerJuggling_g24_c01.avi,0.005014492385089398,5,4,original
94,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.004836218431591988,5,4,original
95,decord,v_SoccerJuggling_g24_c01.avi,0.008662513084709644,5,4,original
96,pyav,v_SoccerJuggling_g24_c01.avi,0.00773079190403223,10,4,original
97,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.006589986011385917,10,4,original
98,decord,v_SoccerJuggling_g24_c01.avi,0.01132070031017065,10,4,original
99,pyav,R6llTwEh07w.mp4,0.1539100455120206,1,4,original
100,tv_newapi,R6llTwEh07w.mp4,0.08997728228569031,1,4,original
101,decord,R6llTwEh07w.mp4,0.06022109780460596,1,4,original
102,pyav,R6llTwEh07w.mp4,0.16035056561231614,5,4,original
103,tv_newapi,R6llTwEh07w.mp4,0.08909167237579822,5,4,original
104,decord,R6llTwEh07w.mp4,0.06527570784091949,5,4,original
105,pyav,R6llTwEh07w.mp4,0.17049027234315872,10,4,original
106,tv_newapi,R6llTwEh07w.mp4,0.0899210587143898,10,4,original
107,decord,R6llTwEh07w.mp4,0.0663632931187749,10,4,original
108,pyav,SOX5yA1l24A.mp4,0.03509242497384548,1,4,original
109,tv_newapi,SOX5yA1l24A.mp4,0.026557720452547073,1,4,original
110,decord,SOX5yA1l24A.mp4,0.021470722556114197,1,4,original
111,pyav,SOX5yA1l24A.mp4,0.040608927793800834,5,4,original
112,tv_newapi,SOX5yA1l24A.mp4,0.027308027632534503,5,4,original
113,decord,SOX5yA1l24A.mp4,0.023915474861860277,5,4,original
114,pyav,SOX5yA1l24A.mp4,0.04845912028104067,10,4,original
115,tv_newapi,SOX5yA1l24A.mp4,0.030669552646577357,10,4,original
116,decord,SOX5yA1l24A.mp4,0.029892280139029025,10,4,original
117,pyav,v_SoccerJuggling_g23_c01.avi,0.0026311494410037996,1,4,original
118,tv_newapi,v_SoccerJuggling_g23_c01.avi,0.0036930792033672334,1,4,original
119,decord,v_SoccerJuggling_g23_c01.avi,0.0062067672610282894,1,4,original
120,pyav,v_SoccerJuggling_g23_c01.avi,0.005067399516701698,5,4,original
121,tv_newapi,v_SoccerJuggling_g23_c01.avi,0.004963929951190949,5,4,original
122,decord,v_SoccerJuggling_g23_c01.avi,0.008145341835916042,5,4,original
123,pyav,v_SoccerJuggling_g23_c01.avi,0.008183490484952927,10,4,original
124,tv_newapi,v_SoccerJuggling_g23_c01.avi,0.006721519492566585,10,4,original
125,decord,v_SoccerJuggling_g23_c01.avi,0.010363978333771229,10,4,original
126,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.004001835361123085,1,4,original
127,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.009530621021986008,1,4,original
128,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.010053717531263828,1,4,original
129,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.005872817151248455,5,4,original
130,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.011416658200323582,5,4,original
131,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.011040934547781944,5,4,original
132,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.008098071627318858,10,4,original
133,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.013007663562893868,10,4,original
134,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.011190027184784412,10,4,original
135,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0058987483382225035,1,4,original
136,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.01280401013791561,1,4,original
137,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.015238671004772187,1,4,original
138,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.008444805815815925,5,4,original
139,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.015177108347415924,5,4,original
140,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.01815713196992874,5,4,original
141,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.011631232872605323,10,4,original
142,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.017821548879146575,10,4,original
143,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0185211930423975,10,4,original
144,pyav,WUzgd7C1pWA.mp4,0.18019869942218064,1,8,original
145,tv_newapi,WUzgd7C1pWA.mp4,0.06988938432186842,1,8,original
146,decord,WUzgd7C1pWA.mp4,0.043138506822288036,1,8,original
147,pyav,WUzgd7C1pWA.mp4,0.18472137283533813,5,8,original
148,tv_newapi,WUzgd7C1pWA.mp4,0.07420897539705038,5,8,original
149,decord,WUzgd7C1pWA.mp4,0.04698158707469702,5,8,original
150,pyav,WUzgd7C1pWA.mp4,0.19596564900130034,10,8,original
151,tv_newapi,WUzgd7C1pWA.mp4,0.08278514482080937,10,8,original
152,decord,WUzgd7C1pWA.mp4,0.049809239059686664,10,8,original
153,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0018352316692471504,1,8,original
154,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.006306737661361694,1,8,original
155,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.007751678302884102,1,8,original
156,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.003119408339262009,5,8,original
157,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0085276048630476,5,8,original
158,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.012874066084623336,5,8,original
159,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0056185400113463405,10,8,original
160,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01067248396575451,10,8,original
161,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.015329484082758426,10,8,original
162,pyav,v_SoccerJuggling_g24_c01.avi,0.0022370124235749243,1,8,original
163,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.005494487658143044,1,8,original
164,decord,v_SoccerJuggling_g24_c01.avi,0.005920443683862686,1,8,original
165,pyav,v_SoccerJuggling_g24_c01.avi,0.004314433224499226,5,8,original
166,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.0066877990961074826,5,8,original
167,decord,v_SoccerJuggling_g24_c01.avi,0.007611443474888802,5,8,original
168,pyav,v_SoccerJuggling_g24_c01.avi,0.007061249762773514,10,8,original
169,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.008430398628115654,10,8,original
170,decord,v_SoccerJuggling_g24_c01.avi,0.008243586122989654,10,8,original
171,pyav,R6llTwEh07w.mp4,0.20595188215374946,1,8,original
172,tv_newapi,R6llTwEh07w.mp4,0.10029745381325483,1,8,original
173,decord,R6llTwEh07w.mp4,0.04423530362546444,1,8,original
174,pyav,R6llTwEh07w.mp4,0.21103469077497722,5,8,original
175,tv_newapi,R6llTwEh07w.mp4,0.10041622146964073,5,8,original
176,decord,R6llTwEh07w.mp4,0.045138643309473994,5,8,original
177,pyav,R6llTwEh07w.mp4,0.22139247599989176,10,8,original
178,tv_newapi,R6llTwEh07w.mp4,0.08731801845133305,10,8,original
179,decord,R6llTwEh07w.mp4,0.0471394220367074,10,8,original
180,pyav,SOX5yA1l24A.mp4,0.07511934954673052,1,8,original
181,tv_newapi,SOX5yA1l24A.mp4,0.03204932045191526,1,8,original
182,decord,SOX5yA1l24A.mp4,0.03796997833997011,1,8,original
183,pyav,SOX5yA1l24A.mp4,0.08024559337645769,5,8,original
184,tv_newapi,SOX5yA1l24A.mp4,0.03558588307350874,5,8,original
185,decord,SOX5yA1l24A.mp4,0.040830090455710885,5,8,original
186,pyav,SOX5yA1l24A.mp4,0.08716508634388447,10,8,original
187,tv_newapi,SOX5yA1l24A.mp4,0.03935389909893274,10,8,original
188,decord,SOX5yA1l24A.mp4,0.04655766654759645,10,8,original
189,pyav,v_SoccerJuggling_g23_c01.avi,0.0029621824622154238,1,8,original
190,tv_newapi,v_SoccerJuggling_g23_c01.avi,0.005581341311335563,1,8,original
191,decord,v_SoccerJuggling_g23_c01.avi,0.006477668695151806,1,8,original
192,pyav,v_SoccerJuggling_g23_c01.avi,0.0055167416110634806,5,8,original
193,tv_newapi,v_SoccerJuggling_g23_c01.avi,0.007057974673807621,5,8,original
194,decord,v_SoccerJuggling_g23_c01.avi,0.00802265927195549,5,8,original
195,pyav,v_SoccerJuggling_g23_c01.avi,0.00889342837035656,10,8,original
196,tv_newapi,v_SoccerJuggling_g23_c01.avi,0.008508158475160598,10,8,original
197,decord,v_SoccerJuggling_g23_c01.avi,0.010646969452500344,10,8,original
198,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.003981199860572815,1,8,original
199,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.011559597030282021,1,8,original
200,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.008965971320867539,1,8,original
201,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.005856459215283394,5,8,original
202,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.012912859581410885,5,8,original
203,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.010318219475448132,5,8,original
204,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.008248242363333703,10,8,original
205,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.015108415670692921,10,8,original
206,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.010387485288083554,10,8,original
207,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0059337949380278586,1,8,original
208,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0159235754981637,1,8,original
209,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.01302296295762062,1,8,original
210,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0084686741232872,5,8,original
211,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.016692712903022766,5,8,original
212,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.017255993746221065,5,8,original
213,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.011644486896693706,10,8,original
214,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.02105087265372276,10,8,original
215,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.02155252154916525,10,8,original
216,pyav,v_SoccerJuggling_g23_c01.avi.mp4,0.04978211726993322,1,1,h264
217,tv_newapi,v_SoccerJuggling_g23_c01.avi.mp4,0.05702460817992687,1,1,h264
218,decord,v_SoccerJuggling_g23_c01.avi.mp4,0.0319893978536129,1,1,h264
219,pyav,v_SoccerJuggling_g23_c01.avi.mp4,0.055194199457764624,5,1,h264
220,tv_newapi,v_SoccerJuggling_g23_c01.avi.mp4,0.0614003861322999,5,1,h264
221,decord,v_SoccerJuggling_g23_c01.avi.mp4,0.03458986580371857,5,1,h264
222,pyav,v_SoccerJuggling_g23_c01.avi.mp4,0.05860189162194729,10,1,h264
223,tv_newapi,v_SoccerJuggling_g23_c01.avi.mp4,0.06391816213726997,10,1,h264
224,decord,v_SoccerJuggling_g23_c01.avi.mp4,0.03762135915458202,10,1,h264
225,pyav,WUzgd7C1pWA.mp4,0.06994454581290484,1,1,h264
226,tv_newapi,WUzgd7C1pWA.mp4,0.07734194863587618,1,1,h264
227,decord,WUzgd7C1pWA.mp4,0.05273790284991264,1,1,h264
228,pyav,WUzgd7C1pWA.mp4,0.07597559299319982,5,1,h264
229,tv_newapi,WUzgd7C1pWA.mp4,0.08234382830560208,5,1,h264
230,decord,WUzgd7C1pWA.mp4,0.056637353450059894,5,1,h264
231,pyav,WUzgd7C1pWA.mp4,0.08420734312385321,10,1,h264
232,tv_newapi,WUzgd7C1pWA.mp4,0.09046858176589012,10,1,h264
233,decord,WUzgd7C1pWA.mp4,0.06326990108937025,10,1,h264
234,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.014182928018271923,1,1,h264
235,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.017118268087506293,1,1,h264
236,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.011084220558404922,1,1,h264
237,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.01805257983505726,5,1,h264
