,loader,video,time,num_frames,tv
66,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03301843469998857,48,0.5.0
67,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.024426527899959184,48,0.5.0
68,tv_pyav,SOX5yA1l24A.mp4,0.3296367863998967,332,0.5.0
69,tv_vr,SOX5yA1l24A.mp4,0.21608087469994644,332,0.5.0
70,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.03621455739994417,74,0.5.0
71,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.024929923299896472,74,0.5.0
72,tv_pyav,WUzgd7C1pWA.mp4,0.34591659620000426,327,0.5.0
73,tv_vr,WUzgd7C1pWA.mp4,0.24230489970013877,327,0.5.0
74,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.1004428905000168,251,0.5.0
75,tv_vr,v_SoccerJuggling_g24_c01.avi,0.0714877542000977,251,0.5.0
76,tv_pyav,R6llTwEh07w.mp4,0.3571228499000426,303,0.5.0
77,tv_vr,R6llTwEh07w.mp4,0.265268796700002,303,0.5.0
78,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.11121636220013897,240,0.5.0
79,tv_vr,v_SoccerJuggling_g23_c01.avi,0.07281506050003372,240,0.5.0
80,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04665733029996773,72,0.5.0
81,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04079088460002822,72,0.5.0
82,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.043808836199968934,48,0.5.0
83,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.026589512200007447,48,0.5.0
84,tv_pyav,SOX5yA1l24A.mp4,0.35647499159986185,332,0.5.0
85,tv_vr,SOX5yA1l24A.mp4,0.19800742530005663,332,0.5.0
86,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0339829878999808,74,0.5.0
87,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.025722309800039513,74,0.5.0
88,tv_pyav,WUzgd7C1pWA.mp4,0.39789370219987175,327,0.5.0
89,tv_vr,WUzgd7C1pWA.mp4,0.30454275240008427,327,0.5.0
90,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.10910306780006067,251,0.5.0
91,tv_vr,v_SoccerJuggling_g24_c01.avi,0.06829993080009444,251,0.5.0
92,tv_pyav,R6llTwEh07w.mp4,0.3707104221999543,303,0.5.0
93,tv_vr,R6llTwEh07w.mp4,0.27775192520002745,303,0.5.0
94,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.11661617629997637,240,0.5.0
95,tv_vr,v_SoccerJuggling_g23_c01.avi,0.07036724419995152,240,0.5.0
96,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.051577485800044086,72,0.5.0
97,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.041455713600043964,72,0.5.0
98,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.031375562899847866,48,0.5.0
99,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.02440322419988661,48,0.5.0
100,tv_pyav,SOX5yA1l24A.mp4,0.3416434474000198,332,0.5.0
101,tv_vr,SOX5yA1l24A.mp4,0.23397012120003638,332,0.5.0
102,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.042005040299955,74,0.5.0
103,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.027444490900052187,74,0.5.0
104,tv_pyav,WUzgd7C1pWA.mp4,0.4002681027001017,327,0.5.0
