,loader,video,time,num_frames
72,decord_VR_forlooop,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.1061476227012463,72
73,decord_VR_batch,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10930507080047391,72
74,decord_VL,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.05872643679613247,72
75,decord_VR_forlooop,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05576555110164918,48
76,decord_VR_batch,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.059117529296781865,48
77,decord_VL,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04133890550001525,48
78,decord_VR_forlooop,SOX5yA1l24A.mp4,0.10513228870113381,332
79,decord_VR_batch,SOX5yA1l24A.mp4,0.10868732229573652,332
80,decord_VL,SOX5yA1l24A.mp4,0.11942513270187191,332
81,decord_VR_forlooop,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0764973406039644,74
82,decord_VR_batch,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07799657249706797,74
83,decord_VL,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04909335800330154,74
84,decord_VR_forlooop,WUzgd7C1pWA.mp4,0.10384615589864551,327
85,decord_VR_batch,WUzgd7C1pWA.mp4,0.11830349059891887,327
86,decord_VL,WUzgd7C1pWA.mp4,0.12173348389915191,327
87,decord_VR_forlooop,v_SoccerJuggling_g24_c01.avi,0.06561730700195767,251
88,decord_VR_batch,v_SoccerJuggling_g24_c01.avi,0.05563124199979939,251
89,decord_VL,v_SoccerJuggling_g24_c01.avi,0.1302001186006237,251
90,decord_VR_forlooop,R6llTwEh07w.mp4,0.10077874939888716,303
91,decord_VR_batch,R6llTwEh07w.mp4,0.10236140740453266,303
92,decord_VL,R6llTwEh07w.mp4,0.11904656490078196,303
93,decord_VR_forlooop,v_SoccerJuggling_g23_c01.avi,0.06282972499611787,240
94,decord_VR_batch,v_SoccerJuggling_g23_c01.avi,0.05379060879931785,240
95,decord_VL,v_SoccerJuggling_g23_c01.avi,0.12136403070180676,240
96,decord_VR_forlooop,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10723328299936838,72
97,decord_VR_batch,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.1098753736994695,72
98,decord_VL,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.05861055940040387,72
99,decord_VR_forlooop,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05606209109537304,48
100,decord_VR_batch,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.057866102701518686,48
101,decord_VL,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04042979789664969,48
102,decord_VR_forlooop,SOX5yA1l24A.mp4,0.10316087190294639,332
103,decord_VR_batch,SOX5yA1l24A.mp4,0.099571146996459,332
104,decord_VL,SOX5yA1l24A.mp4,0.10270525019732304,332
105,decord_VR_forlooop,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07548227870138362,74
106,decord_VR_batch,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07495231089997105,74
107,decord_VL,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04806567640043795,74
108,decord_VR_forlooop,WUzgd7C1pWA.mp4,0.10072162279975601,327
109,decord_VR_batch,WUzgd7C1pWA.mp4,0.11365247690118849,327
110,decord_VL,WUzgd7C1pWA.mp4,0.11365841310471296,327
111,decord_VR_forlooop,v_SoccerJuggling_g24_c01.avi,0.06155703300028108,251
112,decord_VR_batch,v_SoccerJuggling_g24_c01.avi,0.05551715379697271,251
113,decord_VL,v_SoccerJuggling_g24_c01.avi,0.1301488146011252,251
114,decord_VR_forlooop,R6llTwEh07w.mp4,0.0987950932001695,303
115,decord_VR_batch,R6llTwEh07w.mp4,0.08934348429902457,303
116,decord_VL,R6llTwEh07w.mp4,0.09915844759671018,303
117,decord_VR_forlooop,v_SoccerJuggling_g23_c01.avi,0.060545224201632664,240
118,decord_VR_batch,v_SoccerJuggling_g23_c01.avi,0.052683151204837485,240
119,decord_VL,v_SoccerJuggling_g23_c01.avi,0.12004471080144867,240
120,decord_VR_forlooop,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10773911720025353,72
121,decord_VR_batch,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.1086398754036054,72
122,decord_VL,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.05914031039574184,72
123,decord_VR_forlooop,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05482180620310828,48
124,decord_VR_batch,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0573478986043483,48
125,decord_VL,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.040332696295809004,48
126,decord_VR_forlooop,SOX5yA1l24A.mp4,0.1089566943992395,332
127,decord_VR_batch,SOX5yA1l24A.mp4,0.1166980544978287,332
128,decord_VL,SOX5yA1l24A.mp4,0.11136394120403566,332
129,decord_VR_forlooop,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0758805615012534,74
130,decord_VR_batch,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07584394980221987,74
131,decord_VL,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04748066320316866,74
132,decord_VR_forlooop,WUzgd7C1pWA.mp4,0.1053047619992867,327
133,decord_VR_batch,WUzgd7C1pWA.mp4,0.1049081153003499,327
134,decord_VL,WUzgd7C1pWA.mp4,0.1133038166037295,327
135,decord_VR_forlooop,v_SoccerJuggling_g24_c01.avi,0.0634165749012027,251
136,decord_VR_batch,v_SoccerJuggling_g24_c01.avi,0.0543215790996328,251
137,decord_VL,v_SoccerJuggling_g24_c01.avi,0.12371338380035013,251
138,decord_VR_forlooop,R6llTwEh07w.mp4,0.09782032739603892,303
139,decord_VR_batch,R6llTwEh07w.mp4,0.09395163829904049,303
140,decord_VL,R6llTwEh07w.mp4,0.10397153460071422,303
141,decord_VR_forlooop,v_SoccerJuggling_g23_c01.avi,0.0630209974013269,240
142,decord_VR_batch,v_SoccerJuggling_g23_c01.avi,0.054930936900200324,240
143,decord_VL,v_SoccerJuggling_g23_c01.avi,0.11300562820397317,240
144,decord_VR_forlooop,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10793942830059677,72
145,decord_VR_batch,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.1113244459964335,72
146,decord_VL,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06057223209645599,72
147,decord_VR_forlooop,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05615221170010045,48
148,decord_VR_batch,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05853909889701754,48
149,decord_VL,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.040199621696956456,48
150,decord_VR_forlooop,SOX5yA1l24A.mp4,0.10490860510035419,332
151,decord_VR_batch,SOX5yA1l24A.mp4,0.08863137179869227,332
152,decord_VL,SOX5yA1l24A.mp4,0.10316881840117276,332
153,decord_VR_forlooop,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0755163736990653,74
154,decord_VR_batch,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07622946459450759,74
155,decord_VL,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.048418691603001204,74
156,decord_VR_forlooop,WUzgd7C1pWA.mp4,0.10315614799619652,327
157,decord_VR_batch,WUzgd7C1pWA.mp4,0.09241921359789558,327
158,decord_VL,WUzgd7C1pWA.mp4,0.10193458709982224,327
159,decord_VR_forlooop,v_SoccerJuggling_g24_c01.avi,0.0628351396007929,251
160,decord_VR_batch,v_SoccerJuggling_g24_c01.avi,0.05485558690270409,251
161,decord_VL,v_SoccerJuggling_g24_c01.avi,0.13039992709527723,251
162,decord_VR_forlooop,R6llTwEh07w.mp4,0.09857555879862048,303
163,decord_VR_batch,R6llTwEh07w.mp4,0.0885516378970351,303
164,decord_VL,R6llTwEh07w.mp4,0.09673027450335211,303
165,decord_VR_forlooop,v_SoccerJuggling_g23_c01.avi,0.07795223530265502,240
166,decord_VR_batch,v_SoccerJuggling_g23_c01.avi,0.05473186540184542,240
167,decord_VL,v_SoccerJuggling_g23_c01.avi,0.1147062340984121,240
168,decord_VR_forlooop,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10604579540085979,72
169,decord_VR_batch,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10903730529826135,72
170,decord_VL,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.05882340459502302,72
171,decord_VR_forlooop,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05590462079853751,48
172,decord_VR_batch,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.058813569199992345,48
173,decord_VL,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.041777199099306016,48
174,decord_VR_forlooop,SOX5yA1l24A.mp4,0.10300104889902287,332
175,decord_VR_batch,SOX5yA1l24A.mp4,0.09396845430019311,332
176,decord_VL,SOX5yA1l24A.mp4,0.10565219399868511,332
177,decord_VR_forlooop,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07570964050246402,74
178,decord_VR_batch,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07642713359673507,74
179,decord_VL,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0498541185981594,74
180,decord_VR_forlooop,WUzgd7C1pWA.mp4,0.11137551199644805,327
181,decord_VR_batch,WUzgd7C1pWA.mp4,0.12057245030300692,327
182,decord_VL,WUzgd7C1pWA.mp4,0.11020513449911959,327
183,decord_VR_forlooop,v_SoccerJuggling_g24_c01.avi,0.06716056570294313,251
184,decord_VR_batch,v_SoccerJuggling_g24_c01.avi,0.05660408770199865,251
185,decord_VL,v_SoccerJuggling_g24_c01.avi,0.12775809279992245,251
186,decord_VR_forlooop,R6llTwEh07w.mp4,0.10338385400245897,303
187,decord_VR_batch,R6llTwEh07w.mp4,0.09921631090110168,303
188,decord_VL,R6llTwEh07w.mp4,0.1130338766030036,303
189,decord_VR_forlooop,v_SoccerJuggling_g23_c01.avi,0.061893371300539,240
190,decord_VR_batch,v_SoccerJuggling_g23_c01.avi,0.05540431999834254,240
191,decord_VL,v_SoccerJuggling_g23_c01.avi,0.11970114000141621,240
192,decord_VR_forlooop,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.1064928556967061,72
