,loader,video,time
40,tv_vr,R6llTwEh07w.mp4,0.2877412637986708
41,decord,R6llTwEh07w.mp4,0.10393223770079203
42,CV2,v_SoccerJuggling_g23_c01.avi,0.06077259750454687
43,pyav,v_SoccerJuggling_g23_c01.avi,0.08123659900156781
44,pyav_notorgb,v_SoccerJuggling_g23_c01.avi,0.030769106897059827
45,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.09308262799750082
46,tv_vr,v_SoccerJuggling_g23_c01.avi,0.09364683390012943
47,decord,v_SoccerJuggling_g23_c01.avi,0.0656367122021038
48,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0656079789972864
49,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03420075369649567
50,pyav_notorgb,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.014980611199280246
51,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04090361580019817
52,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04072324259905145
53,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10876635740278288
54,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04638999990420416
55,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.020422210096148773
56,pyav_notorgb,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.008538876700913533
57,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.02410221429890953
58,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.024027480400400238
59,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05654538249946199
60,CV2,SOX5yA1l24A.mp4,0.0753230769012589
61,pyav,SOX5yA1l24A.mp4,0.2218533765000757
62,pyav_notorgb,SOX5yA1l24A.mp4,0.12977685500518418
63,tv_pyav,SOX5yA1l24A.mp4,0.2613694745989051
64,tv_vr,SOX5yA1l24A.mp4,0.25557916149846277
65,decord,SOX5yA1l24A.mp4,0.10789439129875973
66,CV2,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04928964040009305
67,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.025097734498558566
68,pyav_notorgb,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0098826629051473
69,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.029405641101766376
